0,-0.030015,0.0075037
-0.0675,0.12751,0.037496
-0.0675,0.12751,0.037496
-0.0225,0.015007,0.15
45.54,19.05,14.64
-1.0875,-1.1025,0.11999
-0.47999,3.9825,-0.10501
-94.455,-97.043,181.33
0.0225,0.014985,-0.052504
-20.048,14.145,18.712
-94.207,-97.2,179.71
0.0675,-0.09,0.0225
-20.205,14.31,18.045
-44.235,19.372,14.917
-94.387,-92.723,178.72
-94.927,-92.902,177.66
0.030015,-0.045,-0.075004
0.23251,4.1175,0.014996
-24.202,19.035,14.73
-24.202,19.035,14.73
44.153,19.147,14.707
-93.713,-92.88,178.94
-0.059985,0.030015,0.059996
-0.55499,3.9225,0.1275
45.525,19.335,15.697
-95.85,-92.25,177.93
-0.059985,-0.225,0.097504
-19.657,13.882,18.008
-46.072,19.103,14.768
-94.702,-92.768,179.19
-0.075015,-0.10499,0.0675
0.39749,4.035,-0.2925
-24.645,19.335,15.165
-24.645,19.335,15.165
49.29,19.133,14.962
-93.848,-92.632,177.84
0.0225,-0.014985,0.1275
-45.63,19.335,15
-45.63,19.335,15
-0.014985,-0.17249,-0.037496
-0.014985,-0.17249,-0.037496
-47.242,19.268,15.488
-47.242,19.268,15.488
-95.31,-92.768,179.21
-0.0075146,0.17249,0.059996
-18.435,14.01,18.735
-18.435,14.01,18.735
-18.435,14.01,18.735
-45.773,19.207,15.27
-45.773,19.207,15.27
-95.872,-92.812,179.84
0.135,-0.0225,0.195
0.1125,-0.0675,0.014996
0.09,0.0225,-0.030004
-95.76,-92.88,179.84
0.14999,0.045,0.105
-45.728,19.327,15
-45.728,19.327,15
-93.375,-92.902,179.05
0.12001,0.045,0.052504
-0.48749,4.0275,-0.059996
-23.482,19.237,15.173
45.233,19.103,14.835
0.03375,0.12375,-0.12375
0.038254,0.031509,-0.017996
0.30825,3.879,0.162
-23.002,19.179,15.35
-23.002,19.179,15.35
45.893,19.247,15.102
0.39825,3.924,0.2295
0.14401,-0.89776,-0.0089978
0.21151,3.9847,-0.5265
-22.041,19.352,15.426
45.279,19.172,15.494
